form,N,GrantRows,GrantBytes,StructuralRows,StructuralBytes,TableBytes,NetGrantBytes
A-flat,10,400,75764,116,17764,385024,58000
A-flat,100,4000,611534,206,31534,2555904,580000
A-flat,1000,40000,5969234,1106,169234,24059904,5800000
B-group,10,50,25574,116,17764,24166400,7810
B-group,100,410,97304,206,31534,24485888,65770
B-group,1000,4010,814604,1106,169234,27172864,645370
C-role-relation,10,100,33064,116,17764,27312128,15300
C-role-relation,100,1000,184534,206,31534,28016640,153000
C-role-relation,1000,10000,1699234,1106,169234,34504704,1530000
D-container,10,20,20744,116,17764,34594816,2980
D-container,100,110,48284,206,31534,34734080,16750
D-container,1000,1010,323684,1106,169234,35864576,154450
BCD-combined,10,21,20825,116,17764,35946496,3061
BCD-combined,100,111,48365,206,31534,36085760,16831
BCD-combined,1000,1011,323765,1106,169234,37199872,154531
E-relational,10,12,13182,120,12427,417792,755
E-relational,100,12,25425,210,24670,434176,755
E-relational,1000,12,147825,1110,147070,655360,755
